evento_id,data_inicio,data_fim,nome_evento,tipo_conflito,regioes_afetadas,impacto_energia,impacto_defesa,impacto_ouro,impacto_agronegocio,impacto_tecnologia,impacto_saude,variacao_sp500_30d,nivel_risco,observacoes
EVT001,2022-02-24,2023-12-31,Invasão Russa à Ucrânia,Guerra Convencional entre Estados,"Europa do Leste, Rússia, Ucrânia",+45%,+38%,+12%,+28%,-8%,+5%,-8.50%,alto,"Maior conflito na Europa desde a 2ª Guerra. Disparou preços de energia e grãos globalmente."
EVT002,2023-10-07,2024-06-30,Conflito Israel-Hamas,Conflito Regional Limitado,"Oriente Médio, Gaza, Israel",+8%,+15%,+7%,+3%,0%,+2%,-3.20%,médio,"Risco de escalada regional com Irã. Impacto direto nas rotas do Golfo Pérsico."
EVT003,2020-01-01,2021-12-31,Pandemia COVID-19,Crise Humanitária e Pandemia,Global,-32%,-2%,+25%,+12%,+40%,+60%,-34.00%,muito alto,"Lockdowns globais. Colapso de demanda por energia. Boom de saúde e tecnologia."
EVT004,2018-07-06,2020-01-15,Guerra Comercial EUA-China,Guerra Comercial e Sanções,"EUA, China, Ásia-Pacífico",-5%,+10%,+18%,+15%,-22%,-2%,-6.80%,médio-alto,"Tarifas bilaterais sobre USD 360 bi em produtos. Semicondutores foram principal alvo."
EVT005,2023-11-01,2024-06-30,Ataques Houthis no Mar Vermelho,Tensão em Estreitos e Rotas Marítimas,"Mar Vermelho, Canal de Suez, Oriente Médio",+12%,+8%,+5%,+6%,-4%,0%,-1.50%,médio,"Desvio de navios pelo Cabo da Boa Esperança elevou custos de frete globais em 250%."
EVT006,2022-02-24,2022-12-31,Sanções Ocidentais à Rússia,Guerra Comercial e Sanções,"Rússia, Europa, Global",+60%,+5%,+15%,+22%,-5%,0%,-12.00%,alto,"Corte de gás russo para Europa. Crise energética histórica na Alemanha e Reino Unido."
EVT007,2014-03-01,2015-02-12,Crise da Crimeia,Guerra Convencional entre Estados,"Ucrânia, Rússia, Europa Oriental",+8%,+12%,+9%,+5%,-3%,0%,-2.30%,médio,"Menor escala que 2022 mas precedente histórico para análise de padrões."
EVT008,2019-09-14,2019-10-30,Ataque às Refinarias Aramco,Conflito Regional Limitado,"Arábia Saudita, Oriente Médio",+15%,+8%,+3%,0%,0%,0%,-0.80%,médio,"Maior disrupção da produção saudita em décadas. Alta imediata do petróleo em +15% em 1 dia."
EVT009,2020-03-08,2020-04-12,Guerra de Preços do Petróleo (Rússia-OPEP),Guerra Comercial e Sanções,"Rússia, Arábia Saudita, Global",-65%,0%,+8%,-5%,0%,-2%,-20.00%,alto,"Colapso do petróleo para valores negativos. Empresas shale nos EUA à beira da falência."
EVT010,2021-03-23,2021-03-29,Bloqueio do Canal de Suez (Ever Given),Tensão em Estreitos e Rotas Marítimas,"Canal de Suez, Europa, Ásia",+4%,0%,+1%,+2%,-2%,0%,0.50%,baixo,"USD 9.6 bilhões em comércio bloqueado por dia. Alerta global para vulnerabilidade logística."
